,id,brand,txt,buylink
134,30,VINTAGE,🔸60s USA製 BIGMAC シャモアクロスシャツ 赤 XL,https://zozo.jp/search/?p_keyv=%83V%83%83%83c%2F%83u%83%89%83E%83X&p_cocid=12&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
135,30,VINTAGE,🔸SUB POP カートコバーン Tシャツ 白 L,https://zozo.jp/search/?p_keyv=T%83V%83%83%83c%2F%83J%83b%83g%83%5C%81%5B&p_cocid=1&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
136,30,VINTAGE,🔸BIGMAC 60sペインターパンツ(青)  ★メルカリ出品中‼️,https://zozo.jp/search/?p_keyv=%83f%83j%83%80%83p%83%93%83c&p_cocid=8&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
137,30,VINTAGE,🔸エイチティーシー　ウォレットチェーン49cm(シルバー) ★メルカリ出品中‼️,https://zozo.jp/search/?p_keyv=%83E%83H%83%8C%83b%83g%83%60%83F%81%5B%83%93&p_cocid=14&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
138,30,VINTAGE,🔸90s コンバース　カート着用ジャックパーセル(黒) ★メルカリ出品中‼️,https://zozo.jp/search/?p_keyv=%83X%83j%81%5B%83J%81%5B&p_cocid=2&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
139,30,🔸メルカリ出品中🙋‍♂️,🔸USA製黒コンVTG チャック、コーチ、ジャックパーセルetc,https://zozo.jp/category/others/?p_cocid=16&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
140,30,🔸服用中のリチウム💊,🔸Nirvanaの曲にもある双極性障害の薬💊,https://zozo.jp/category/others/?p_cocid=16&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
141,30,🔸ペインターパンツコーデ😎💕,❤️カート&フランシス　娘達との懐かしい思い出✨,https://zozo.jp/search/?p_keyv=%83f%83j%83%80%83p%83%93%83c&p_cocid=8&kid=423256683&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23256683
142,31,niko and...,,https://zozo.jp/brand/nikoand/?p_keyv=%83j%83b%83g%2F%83Z%81%5B%83%5E%81%5B&p_cocid=1&kid=423284352&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23284352
143,31,GU,,https://zozo.jp/search/?p_keyv=%83f%83j%83%80%83p%83%93%83c&p_cocid=3&kid=423284352&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23284352
144,31,Dr.Martens,ドレスシューズ (ブラック系),https://zozo.jp/brand/drmartens/?p_keyv=%83h%83%8C%83X%83V%83%85%81%5B%83Y&kid=423284352&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23284352
145,32,URBAN RESEARCH DOORS MENS,その他パンツ (ホワイト系),https://zozo.jp/?c=gr&gid=3396471&kid=300362093&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameURBAN+RESEARCH+DOORS+MENS_itemID3577686_kid300362093_coupon0
146,32,URBAN RESEARCH DOORS MENS,パーカー (グリーン系),https://zozo.jp/brand/urbanresearchdoorsmens/?p_keyv=%83p%81%5B%83J%81%5B&kid=400362093&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_362093
147,33,SALOMON,,https://zozo.jp/search/?p_keyv=%83X%83j%81%5B%83J%81%5B&p_cocid=3&kid=423312478&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23312478
148,33,CIAOPANIC TYPY,スラックス (ブルー系),https://zozo.jp/?c=gr&gid=76361522&kid=323312478&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameCIAOPANIC+TYPY_itemID72403114_kid323312478_coupon0
149,33,CIAOPANIC TYPY,ニット/セーター (ブルー系),https://zozo.jp/?c=gr&gid=75413786&kid=323312478&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameCIAOPANIC+TYPY_itemID72074939_kid323312478_coupon0
150,33,CIAOPANIC TYPY,ショルダーバッグ (ブラック系),https://zozo.jp/?c=gr&gid=75815643&kid=323312478&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameCIAOPANIC+TYPY_itemID71737366_kid323312478_coupon0
151,34,feepur,Tシャツ/カットソー (ホワイト系),https://zozo.jp/?c=gr&gid=74722552&kid=323286001&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnamefeepur_itemID70573690_kid323286001_coupon0
152,34,feepur,ベスト (ブラック系),https://zozo.jp/?c=gr&gid=76257622&kid=323286001&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnamefeepur_itemID72349542_kid323286001_coupon0
153,34,feepur,スラックス (グレー系),https://zozo.jp/?c=gr&gid=72964135&kid=323286001&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnamefeepur_itemID68602861_kid323286001_coupon0
154,34,feepur,サングラス (ブラック系),https://zozo.jp/?c=gr&gid=72964116&kid=323286001&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnamefeepur_itemID68602859_kid323286001_coupon0
155,34,New Balance,スニーカー (グレー系),https://zozo.jp/search/?p_keyv=%83X%83j%81%5B%83J%81%5B&kid=423286001&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23286001
156,34,Instagram≫,Instagram(@yuka__kt) フォローお待ちしてます🫶🏻,https://zozo.jp/search/?p_keyv=%82%BB%82%CC%91%BC&p_cocid=16&kid=423286001&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23286001
157,34,feepur,ショルダーバッグ (ブラック系),https://zozo.jp/?c=gr&gid=76912827&kid=323286001&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnamefeepur_itemID72751477_kid323286001_coupon0
